2026-03-07 12:00:25,294 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53241.000')) | Best Ask: (Decimal('0.400'), Decimal('1469.000'))
2026-03-07 12:00:25,294 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1469.000')) | Best Ask: (Decimal('0.610'), Decimal('53241.000'))
2026-03-07 12:00:25,916 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53241.000')) | Best Ask: (Decimal('0.400'), Decimal('1469.000'))
2026-03-07 12:00:25,916 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1469.000')) | Best Ask: (Decimal('0.610'), Decimal('53241.000'))
2026-03-07 12:00:25,916 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1916.000'))
2026-03-07 12:00:25,916 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1916.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:25,916 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:25,924 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('1936.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('1936.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:25,925 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:25,973 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('550.000'))
2026-03-07 12:00:25,973 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('550.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 12:00:25,973 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:25,973 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:26,226 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('550.000'))
2026-03-07 12:00:26,226 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('550.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 12:00:26,226 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('136360.000')) | Best Ask: (Decimal('0.340'), Decimal('474.000'))
2026-03-07 12:00:26,226 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('474.000')) | Best Ask: (Decimal('0.670'), Decimal('136360.000'))
2026-03-07 12:00:26,484 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('550.000'))
2026-03-07 12:00:26,484 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('550.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 12:00:26,484 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('53221.000')) | Best Ask: (Decimal('0.400'), Decimal('1469.000'))
2026-03-07 12:00:26,484 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1469.000')) | Best Ask: (Decimal('0.610'), Decimal('53221.000'))
